epoch,train_mse,val_mse,val_r2
354,15470470752787.883,417866494897.2308,-371420.7845917135
355,15356041984998.902,425770649442.46155,-378218.90544247924
356,15285455841882.354,431681394845.53845,-383557.3710566932
357,15179649527406.432,431047301907.6923,-383150.1973785196
358,15077180801576.156,430623170560.0,-382876.6748921092
359,15063000556861.844,428688802422.1539,-381331.02946310834
360,14986629475066.98,430257928349.53845,-382771.97902802814
361,14973034666556.234,424475807428.9231,-378582.0458108612
362,14884695718169.098,450490901110.1539,-400117.08035297354
363,14784280494642.195,460196576019.6923,-408139.5597044546
364,14666246041961.412,454434350316.3077,-403791.00916382234
365,14642141533221.646,440210479261.53845,-392104.34572096914
366,14554169255574.588,454548848009.8461,-403926.23913986224
367,14498600804271.686,449471562358.1539,-399972.4308042304
368,14431221997763.766,442721543404.3077,-394779.8211573875
369,14334992499973.02,456681352900.9231,-406050.36819172587
370,14299983204432.314,459282953137.2308,-408489.96411824104
371,14271818068530.195,460553463650.46155,-409642.9614285901
372,14192469724538.834,458810134212.9231,-408621.63390723895
373,14153680347457.256,471822588691.6923,-419245.0480046612
374,14051520201237.781,449234986850.46155,-400685.3869092674
375,14043534132871.53,458506091283.6923,-408636.67424158484
376,13960392625292.549,472450415379.6923,-420157.7108726746
377,13847721963384.984,472286641545.8461,-420437.27328057494
378,13856263302866.824,476336501681.2308,-423682.77776773914
379,13725290820065.883,472435811564.3077,-420720.52236934676
380,13708150142317.586,465385155032.61536,-415144.69000971044
381,13723806660545.205,454024042653.53845,-405569.2279256168
382,13765180176015.22,462514976925.53845,-413272.92645781656
383,13581563954276.393,468405992841.8461,-417976.9388917967
384,13595668341816.47,460696649097.8461,-411522.41769839305
385,13446437012831.373,467309790444.3077,-417455.5371070912
386,13403588891127.215,468813373440.0,-418841.81080561184
387,13383267295553.256,494349927030.1539,-439836.8281147567
388,13375601257413.02,472470775020.3077,-422419.6103417097
389,13285466385428.48,472959266500.9231,-422532.3261364202
390,13201653464194.51,453452271931.0769,-406709.9480830597
391,13198964363906.51,470844183473.2308,-420890.7617866923
392,13132837672920.451,472979358326.1539,-422882.1149640194
393,13163899089940.693,457949104600.61536,-410038.34049193194
394,13060069188493.375,485234477528.61536,-433198.5602252301
395,13031443799933.49,477548133139.6923,-427498.7628657352
396,12965453367685.02,475903925641.8461,-426106.6906504413
397,12980956226390.588,472931528388.9231,-423458.4017351923
398,12908898714097.568,476960569501.53845,-426329.23999996355
399,12843433426221.176,476680057147.0769,-426267.34362209216
400,12785515440353.883,465580679168.0,-417425.93270986655
401,12749973996885.334,493231794018.46155,-440335.6960833885
402,12783977421803.922,484735974793.8461,-433989.40453920374
403,12744127144909.805,474793638045.53845,-425549.5855995313
404,12718152012430.459,473536368324.9231,-424162.6741831136
405,12630428793113.098,466993062518.1539,-418556.55603787187
406,12600134602591.373,470136801122.46155,-421289.6663022105
407,12599340604948.078,466004020932.9231,-418510.6827593855
408,12500919227291.607,473945917912.61536,-425152.31266133505
409,12545189450589.795,486661728728.61536,-435362.0184928804
410,12459669514039.215,470543895630.7692,-422289.1140010864
411,12468703630136.785,460335402062.7692,-413190.0422559161
412,12378306627979.594,464707904748.3077,-416855.7262156832
413,12405586250045.78,476966472152.61536,-426678.1890972198
414,12367878006824.156,479526034825.8461,-429487.32136012905
415,12344202175347.451,481384254542.7692,-430801.02673072903
416,12307743900611.766,464804710872.61536,-417770.0056530486
417,12187556075921.568,458360697462.1539,-411841.35188195633
418,12215752178930.154,449275909671.38464,-404217.2332352811
419,101580271027420.86,475950287950.7692,-425305.5956242158
420,12392712701189.02,411112148676.9231,-369976.33319510584
421,12257086855368.785,407120115869.53845,-366271.29027694004
422,12246621986608.941,414270218240.0,-371668.81742968335
423,12233294118912.0,400767248856.61536,-360420.21040691854
424,12190560879395.137,385982450766.7692,-348080.4765440718
425,12163666611983.059,394725381041.2308,-354685.13479737146
426,12144798118031.21,417147991276.3077,-373017.4501248504
427,12138504087752.785,393414564312.61536,-353683.5911184528
428,12088227846148.705,395112659731.6923,-354640.7535145623
429,12096329438879.6,402010530422.1539,-360008.88596261333
430,12082889914202.354,387726482825.8461,-348061.23082231154
431,12050723066498.51,388529054956.3077,-348439.05079915415
432,12041996371847.53,376070327374.7692,-338011.2473226773
433,12003762841479.53,394671755264.0,-353387.54045785667
434,12009859987174.902,375607449127.38464,-337894.98200502293
435,12026643376449.256,378830962688.0,-340218.9773674129
436,11978265228581.256,366244046375.38464,-329739.9542264359
437,11929945563722.98,369294392398.7692,-331727.6851608862
